"期間","新台幣NTD/USD","日圓JPY/USD","英鎊USD/GBP","港幣HKD/USD","韓元KRW/USD"
"1960M01","40.000","360.00","2.8000","5.7143","50.0"
"1960M02","40.000","360.00","2.8000","5.7143","57.5"
"1960M03","40.000","360.00","2.8000","5.7143","65.0"
"1960M04","40.000","360.00","2.8000","5.7143","65.0"
"1960M05","40.000","360.00","2.8000","5.7143","65.0"
"1960M06","40.000","360.00","2.8000","5.7143","65.0"
"1960M07","40.000","360.00","2.8000","5.7143","65.0"
"1960M08","40.000","360.00","2.8000","5.7143","65.0"
"1960M09","40.000","360.00","2.8000","5.7143","65.0"
"1960M10","40.000","360.00","2.8000","5.7143","65.0"
"1960M11","40.000","360.00","2.8000","5.7143","65.0"
"1960M12","40.000","360.00","2.8000","5.7143","65.0"
"1961M01","40.000","360.00","2.8000","5.7143","82.5"
"1961M02","40.000","360.00","2.8000","5.7143","115.0"
"1961M03","40.000","360.00","2.8000","5.7143","130.0"
"1961M04","40.000","360.00","2.8000","5.7143","130.0"
"1961M05","40.000","360.00","2.8000","5.7143","130.0"
"1961M06","40.000","360.00","2.8000","5.7143","130.0"
"1961M07","40.000","360.00","2.8000","5.7143","130.0"
"1961M08","40.000","360.00","2.8000","5.7143","130.0"
"1961M09","40.000","360.00","2.8000","5.7143","130.0"
"1961M10","40.000","360.00","2.8000","5.7143","130.0"
"1961M11","40.000","360.00","2.8000","5.7143","130.0"
"1961M12","40.000","360.00","2.8000","5.7143","130.0"
"1962M01","40.000","360.00","2.8000","5.7143","130.0"
"1962M02","40.000","360.00","2.8000","5.7143","130.0"
